,Text:,Audio:,Image:,No of tries: (1-4),Points awarded: (0-infinity),Display question number: (Y/N),Timer: (0s-infinity),,,,,,,,,,,,,,
Section Name:,Section Name,Section Audio,SectionTitle.jpg,20000,0,TRUE,,,,,,,,,,,,,,,
Instructions:,看汉语拼音，选出正确的答案！,Instructions.mp3,Instruction.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Audio:,Image:,,,,,,,,,,,,,,,,,,
Page Background:,,Page Background Audio,Page Background Image,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Image:,,,,,,,,,,,,,,,,,,
Question Background:,,,QuestionBackground Image,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Text:,Audio:,Image:,,Text:,Audio:,Image:,,Text:,Audio:,Image:,,Text:,Audio:,Image:,,Text:,Audio:,Image:,,
Question:,Question 1 Sample,Question Audio 1,QuestionImage1,Answer 1:,Answer 1 Text,Answer 1 Audio,Answer 1 Image,Answer 2:,Answer 2 Text,Answer 2 Audio,Answer 2 Image,Answer 3:,Answer 3 Text,Answer 3 Audio,Answer 3 Image,Answer 4:,Answer 4 Text,Answer 4 Audio,Answer 4 Image,Correct:,2
Question:,Question 2 Sample,Question Audio 2,QuestionImage2,Answer 1:,Answer 1 Text,Answer 1 Audio,Answer 1 Image,Answer 2:,Answer 2 Text,Answer 2 Audio,Answer 2 Image,Answer 3:,Answer 3 Text,Answer 3 Audio,Answer 3 Image,Answer 4:,Answer 4 Text,Answer 4 Audio,Answer 4 Image,Correct:,1
Question:,牛喜欢吃什么？,Question3.wav,QuestionImage3,Answer 1:,草,cao.wav,cao.png,Answer 2:,奶,milk.wav,milk.png,Answer 3:,肉,meat.wav,meat.png,Answer 4:,电,electric.wav,electric.png,Correct:,2